fecha,pais,canal,gasto,id_campaña
2025-01-01,Argentina,organic,1365.62,organic_Argentina
2025-01-01,Argentina,paid_search,1282.65,paid_search_Argentina
2025-01-01,Argentina,social,1534.69,social_Argentina
2025-01-01,Colombia,organic,2597.21,organic_Colombia
2025-01-01,Colombia,paid_search,1771.4,paid_search_Colombia
2025-01-01,Colombia,social,833.38,social_Colombia
2025-01-01,México,organic,2446.25,organic_Mexico
2025-01-01,México,paid_search,2704.34,paid_search_Mexico
2025-01-01,México,social,2045.01,social_Mexico
2025-01-02,Argentina,organic,2295.15,organic_Argentina
2025-01-02,Argentina,paid_search,2114.02,paid_search_Argentina
2025-01-02,Argentina,social,1020.97,social_Argentina
2025-01-02,Colombia,organic,1020.04,organic_Colombia
2025-01-02,Colombia,paid_search,1573.18,paid_search_Colombia
2025-01-02,Colombia,social,726.68,social_Colombia
2025-01-02,México,organic,2537.38,organic_Mexico
2025-01-02,México,paid_search,1689.07,paid_search_Mexico
2025-01-02,México,social,2413.74,social_Mexico
2025-01-03,Argentina,organic,2303.86,organic_Argentina
2025-01-03,Argentina,paid_search,682.52,paid_search_Argentina
2025-01-03,Argentina,social,1483.57,social_Argentina
2025-01-03,Colombia,organic,695.69,organic_Colombia
2025-01-03,Colombia,paid_search,603.17,paid_search_Colombia
2025-01-03,Colombia,social,1055.99,social_Colombia
2025-01-03,México,organic,607.52,organic_Mexico
2025-01-03,México,paid_search,690.46,paid_search_Mexico
2025-01-03,México,social,2875.31,social_Mexico
2025-01-04,Argentina,organic,1056.76,organic_Argentina
2025-01-04,Argentina,paid_search,1025.27,paid_search_Argentina
2025-01-04,Argentina,social,964.01,social_Argentina
2025-01-04,Colombia,organic,1743.33,organic_Colombia
2025-01-04,Colombia,paid_search,2167.46,paid_search_Colombia
2025-01-04,Colombia,social,2524.27,social_Colombia
2025-01-04,México,organic,1451.23,organic_Mexico
2025-01-04,México,paid_search,2001.64,paid_search_Mexico
2025-01-04,México,social,1504.53,social_Mexico
2025-01-05,Argentina,organic,2733.78,organic_Argentina
2025-01-05,Argentina,paid_search,727.99,paid_search_Argentina
2025-01-05,Argentina,social,765.51,social_Argentina
2025-01-05,Colombia,organic,2082.49,organic_Colombia
2025-01-05,Colombia,paid_search,2519.19,paid_search_Colombia
2025-01-05,Colombia,social,1297.61,social_Colombia
2025-01-05,México,organic,551.18,organic_Mexico
2025-01-05,México,paid_search,1023.54,paid_search_Mexico
2025-01-05,México,social,2337.62,social_Mexico
2025-01-06,Argentina,organic,2356.84,organic_Argentina
2025-01-06,Argentina,paid_search,1572.76,paid_search_Argentina
2025-01-06,Argentina,social,532.18,social_Argentina
2025-01-06,Colombia,organic,1963.21,organic_Colombia
2025-01-06,Colombia,paid_search,2722.75,paid_search_Colombia
2025-01-06,Colombia,social,2865.75,social_Colombia
2025-01-06,México,organic,1258.58,organic_Mexico
2025-01-06,México,paid_search,2832.68,paid_search_Mexico
2025-01-06,México,social,2255.35,social_Mexico
2025-01-07,Argentina,organic,1682.92,organic_Argentina
2025-01-07,Argentina,paid_search,2181.47,paid_search_Argentina
2025-01-07,Argentina,social,1265.21,social_Argentina
2025-01-07,Colombia,organic,1869.52,organic_Colombia
2025-01-07,Colombia,paid_search,1959.43,paid_search_Colombia
2025-01-07,Colombia,social,2239.17,social_Colombia
2025-01-07,México,organic,2515.54,organic_Mexico
2025-01-07,México,paid_search,1133.93,paid_search_Mexico
2025-01-07,México,social,1994.01,social_Mexico
2025-01-08,Argentina,organic,1725.48,organic_Argentina
2025-01-08,Argentina,paid_search,2558.56,paid_search_Argentina
2025-01-08,Argentina,social,2136.17,social_Argentina
2025-01-08,Colombia,organic,2297.81,organic_Colombia
2025-01-08,Colombia,paid_search,1949.01,paid_search_Colombia
